Team,City,Stadium,Capacity,Latitude,Longitude,Country
Valencia,Valencia ,Mestalla ,55000,39.474656,-0.358361,Spain
Sevilla,Seville ,Ramón Sánchez Pizjuán ,45500,37.384,-5.9705,Spain
Barcelona,Barcelona ,Camp Nou ,99354,41.38087,2.122802,Spain
Deportivo La Coruña,A Coruña ,Riazor ,34600,43.368714,-8.417516,Spain
Levante,Valencia ,Ciutat de València ,25534,39.494722,-0.364167,Spain
Málaga,Málaga ,La Rosaleda ,30044,36.734092,-4.426422,Spain
Real Sociedad,San Sebastián ,Anoeta ,32076,43.301378,-1.973617,Spain
Espanyol,Cornellà de Llobregat ,Cornellà-El Prat ,40500,41.347861,2.075667,Spain
Getafe,Getafe ,Coliseum Alfonso Pérez ,17700,40.325556,-3.714722,Spain
Real Madrid,Madrid ,Santiago Bernabéu ,85454,40.45306,-3.68835,Spain
Villarreal,Villarreal ,El Madrigal ,24890,39.944167,-0.103611,Spain
Atlético Madrid,Madrid ,Vicente Calderón ,54851,40.401719,-3.720606,Spain
Rayo Vallecano,Madrid ,Campo de Vallecas ,15489,40.391944,-3.658961,Spain
Valladolid,Valladolid ,Nuevo José Zorrilla ,26512,41.644444,-4.761111,Spain
Mallorca,Palma ,Iberostar Stadium ,23142,39.59,2.63,Spain
Granada,Granada ,Nuevo Los Cármenes ,22524,37.152967,-3.595736,Spain
Osasuna,Pamplona ,El Sadar ,19553,42.796667,-1.636944,Spain
Elche,Elche ,Martínez Valero ,36017,38.266944,-0.663333,Spain
Almería,Almería ,Estadio del Mediterráneo ,22000,36.84,-2.435278,Spain
Celta Vigo,Vigo ,Balaídos ,31800,42.211842,-8.739711,Spain
Athletic Club,Bilbao ,San Mamés ,53332,43.264284,-2.950366,Spain
Real Betis,Seville ,Benito Villamarín ,52500,37.356389,-5.981389,Spain
Leganés,Leganés,Estadio Municipal de Butarque,13089,40.340203,-3.760677,Spain
Girona,Girona,Estadi Montilivi,14624,41.96107696287178,2.8277312243745616,Spain
Alavés,Vitoria-Gasteiz,Estadio de Mendizorroza,19840,42.836938647717375,-2.688268607913583,Spain
Las Palmas,Las Palmas de Gran Canaria,Estadio Gran Canaria,32400,28.100037129783296,-15.45673349063553,Spain
Eibar,Eibar,Estadio de Ipurua,7083,43.18175878390558,-2.475963063805488,Spain
Huesca,Huesca,Estadio El Alcoraz,9100,42.13180180695445,-0.4246410817198606,Spain
Cádiz,Kadyks,Estadio Ramón de Carranza,25033,36.50235949551636,-6.273100165139373,Spain
Paris Saint-Germain,Paris ,Parc des Princes ,48712,48.841389,2.253056,France
Lyon,Lyon ,Stade de Gerland ,41842,45.723889,4.832222,France
Saint-Étienne,Saint-Étienne ,Stade Geoffroy-Guichard,26747,45.460833,4.390278,France
Montpellier,Montpellier ,Stade de la Mosson ,32939,43.622222,3.811944,France
Troyes,Troyes,Stade de l'Aube ,21877,48.307561,4.098458,France
Lille,Villeneuve-d'Ascq ,Stade Pierre-Mauroy ,50186,50.611883,3.130428,France
Marseille,Marseille ,Stade Velodrome,48000,43.269722,5.395833,France
Nice,Nice ,Allianz Riviera ,35624,43.723328,7.258756,France
Rennes,Rennes ,Stade de la Route de Lorient ,31127,48.107458,-1.712839,France
Nantes,Nantes ,Stade de la Beaujoire ,38285,47.255631,-1.525375,France
Caen,Caen ,Stade Michel d'Ornano ,21500,49.179461,-0.396767,France
Toulouse,Toulouse ,Stadium Municipal,35470,43.583056,1.434167,France
Bordeaux,Bordeaux ,Stade Chaban-Delmas ,34462,44.829167,-0.597778,France
Dijon,Dijon,Stade Gaston Gérard ,15998,47.324383,5.068342,France
Guingamp,Guingamp ,Stade du Roudourou ,18126,48.566285,-3.164599,France
Reims,Reims ,Stade Auguste-Delaune II ,21684,49.246667,4.025,France
Brest,Brest,Stade Francis-Le Blé ,16000,48.402932,-4.461694,France
Lorient,Lorient ,Stade du Moustoir ,18890,47.748747,-3.369367,France
Ajaccio,Ajaccio ,Stade François Coty ,10660,41.931081,8.776725,France
Auxerre,Auxerre ,Stade de l'Abbé-Deschamps ,24493,47.786753,3.588664,France
Monaco,Monaco ,Stade Louis II ,18500,43.727606,7.415614,France
Metz,Metz,Stade Municipal Saint-Symphorien,28786,49.11014976450736,6.158414258459941,France
Angers,Angers,Stade Raymond-Kopa,19800,47.4604751118244,-0.5308109472935861,France
Amiens,Amiens,Stade de la Licorne,12097,49.89401549019964,2.263350993378266,France
Strasbourg,Strasbourg,Stade de la Meinau,27500,48.56005512346071,7.755253964717297,France
Nîmes,Nîmes,Stade des Antonins,8033,43.81095541621897,4.356585276953603,France
Lens,Lens,Stade Félix-Bollaert,38223,50.43281953726438,2.8148481777062786,France
Clermont Foot,Clermont-Ferrand,Stade Gabriel-Montpied,12678,45.81574854134583,3.12165596969688,France
